;Mannen;Vrouwen
1991;1559;339
1992;1596;397
1993;1881;463
1994;1837;556
1995;1893;592
1996;1885;715
1997;1795;682
1998;1779;726
1999;1730;744
2000;1673;805
2001;1729;797
2002;1565;984
2003;1512;1056
2004;1612;1054
2005;1781;1098
2006;1836;1157
2007;1839;1321
2008;1873;1341
2009;1928;1373
2010;2165;1571
2011;2089;1626
2012;2225;1815
2013;2324;1997
2014;2386;2142
2015;2373;2290
2016;2547;2420
2017;2473;2274
2018;2481;2300
2019;2606;2350
2020;2242;2218
2021;2607;2612
2022;2497;2486
